District,Petrol Price,Change
"Oct 09, 2025",101.45 ₹/L,+ 0.22
"Oct 08, 2025",101.67 ₹/L,- 0.31
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 41.20
"Oct 15, 2025",100.80 ₹/L,+ 0.03
"Oct 14, 2025",100.83 ₹/L,+ 0.34
"Oct 13, 2025",101.17 ₹/L,- 0.37
"Oct 12, 2025",100.80 ₹/L,  0.00
"Oct 11, 2025",100.80 ₹/L,+ 0.36
"Oct 10, 2025",101.16 ₹/L,- 0.36
"Oct 09, 2025",100.80 ₹/L,+ 0.17
"Oct 08, 2025",100.97 ₹/L,- 0.14
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 39.90
"Oct 15, 2025",102.10 ₹/L,+ 0.31
"Oct 14, 2025",102.41 ₹/L,- 0.31
"Oct 13, 2025",102.10 ₹/L,- 0.27
"Oct 12, 2025",101.83 ₹/L,- 0.23
"Oct 11, 2025",101.60 ₹/L,+ 0.81
"Oct 10, 2025",102.41 ₹/L,- 0.31
"Oct 09, 2025",102.10 ₹/L,+ 0.31
"Oct 08, 2025",102.41 ₹/L,- 0.31
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 40.46
"Oct 15, 2025",101.54 ₹/L,- 0.04
"Oct 14, 2025",101.50 ₹/L,  0.00
"Oct 13, 2025",101.50 ₹/L,- 0.33
"Oct 12, 2025",101.17 ₹/L,+ 0.34
"Oct 11, 2025",101.51 ₹/L,- 0.28
"Oct 10, 2025",101.23 ₹/L,+ 0.28
"Oct 09, 2025",101.51 ₹/L,  0.00
"Oct 08, 2025",101.51 ₹/L,- 0.37
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 39.59
"Oct 15, 2025",102.41 ₹/L,- 0.29
"Oct 14, 2025",102.12 ₹/L,  0.00
"Oct 13, 2025",102.12 ₹/L,+ 0.28
"Oct 12, 2025",102.40 ₹/L,- 0.22
"Oct 11, 2025",102.18 ₹/L,+ 0.23
"Oct 10, 2025",102.41 ₹/L,- 0.29
"Oct 09, 2025",102.12 ₹/L,+ 0.68
"Oct 08, 2025",102.80 ₹/L,- 0.55
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 16, 2025",142.00 ₹/L,- 40.05
"Oct 15, 2025",101.95 ₹/L,+ 0.34
"Oct 14, 2025",102.29 ₹/L,- 0.13
"Oct 13, 2025",102.16 ₹/L,- 0.14
"Oct 12, 2025",102.02 ₹/L,+ 0.32
"Oct 11, 2025",102.34 ₹/L,- 0.14
"Oct 10, 2025",102.20 ₹/L,- 0.04
"Oct 09, 2025",102.16 ₹/L,- 0.14
