District,Petrol Price,Change
"Oct 09, 2025",102.48 ₹/L,- 0.48
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 40.89
"Oct 15, 2025",101.11 ₹/L,+ 0.05
"Oct 14, 2025",101.16 ₹/L,- 0.19
"Oct 13, 2025",100.97 ₹/L,+ 0.38
"Oct 12, 2025",101.35 ₹/L,- 0.24
"Oct 11, 2025",101.11 ₹/L,  0.00
"Oct 10, 2025",101.11 ₹/L,- 0.14
"Oct 09, 2025",100.97 ₹/L,+ 0.13
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.37
"Oct 15, 2025",102.63 ₹/L,- 0.04
"Oct 14, 2025",102.59 ₹/L,+ 0.04
"Oct 13, 2025",102.63 ₹/L,  0.00
"Oct 12, 2025",102.63 ₹/L,- 0.04
"Oct 11, 2025",102.59 ₹/L,+ 0.04
"Oct 10, 2025",102.63 ₹/L,  0.00
"Oct 09, 2025",102.63 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.37
"Oct 15, 2025",102.63 ₹/L,  0.00
"Oct 14, 2025",102.63 ₹/L,- 0.05
"Oct 13, 2025",102.58 ₹/L,+ 0.05
"Oct 12, 2025",102.63 ₹/L,  0.00
"Oct 11, 2025",102.63 ₹/L,  0.00
"Oct 10, 2025",102.63 ₹/L,- 0.05
"Oct 09, 2025",102.58 ₹/L,+ 0.05
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.38
"Oct 15, 2025",102.62 ₹/L,- 1.03
"Oct 14, 2025",101.59 ₹/L,  0.00
"Oct 13, 2025",101.59 ₹/L,  0.00
"Oct 12, 2025",101.59 ₹/L,- 0.10
"Oct 11, 2025",101.49 ₹/L,+ 1.14
"Oct 10, 2025",102.63 ₹/L,- 1.04
"Oct 09, 2025",101.59 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 39.37
"Oct 15, 2025",102.63 ₹/L,  0.00
"Oct 14, 2025",102.63 ₹/L,  0.00
"Oct 13, 2025",102.63 ₹/L,- 0.04
