District,Petrol Price,Change
"Oct 12, 2025",106.34 ₹/L,  0.00
"Oct 11, 2025",106.34 ₹/L,  0.00
"Oct 10, 2025",106.34 ₹/L,+ 0.08
"Oct 09, 2025",106.42 ₹/L,+ 1.01
"Oct 08, 2025",107.43 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 35.55
"Oct 15, 2025",106.45 ₹/L,+ 0.06
"Oct 14, 2025",106.51 ₹/L,+ 0.47
"Oct 13, 2025",106.98 ₹/L,- 0.23
"Oct 12, 2025",106.75 ₹/L,- 0.20
"Oct 11, 2025",106.55 ₹/L,  0.00
"Oct 10, 2025",106.55 ₹/L,+ 0.43
"Oct 09, 2025",106.98 ₹/L,- 0.44
"Oct 08, 2025",106.54 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 35.58
"Oct 15, 2025",106.42 ₹/L,+ 0.25
"Oct 14, 2025",106.67 ₹/L,- 0.13
"Oct 13, 2025",106.54 ₹/L,+ 0.13
"Oct 12, 2025",106.67 ₹/L,+ 0.42
"Oct 11, 2025",107.09 ₹/L,- 0.28
"Oct 10, 2025",106.81 ₹/L,- 0.27
"Oct 09, 2025",106.54 ₹/L,- 0.20
"Oct 08, 2025",106.34 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 35.10
"Oct 15, 2025",106.90 ₹/L,+ 0.82
"Oct 14, 2025",107.72 ₹/L,- 0.39
"Oct 13, 2025",107.33 ₹/L,+ 0.23
"Oct 12, 2025",107.56 ₹/L,- 0.66
"Oct 11, 2025",106.90 ₹/L,  0.00
"Oct 10, 2025",106.90 ₹/L,+ 0.43
"Oct 09, 2025",107.33 ₹/L,+ 0.39
"Oct 08, 2025",107.72 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 34.43
"Oct 15, 2025",107.57 ₹/L,  0.00
"Oct 14, 2025",107.57 ₹/L,+ 0.07
"Oct 13, 2025",107.64 ₹/L,- 0.07
"Oct 12, 2025",107.57 ₹/L,- 0.23
"Oct 11, 2025",107.34 ₹/L,+ 0.66
"Oct 10, 2025",108.00 ₹/L,- 0.47
"Oct 09, 2025",107.53 ₹/L,+ 0.04
"Oct 08, 2025",107.57 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 34.24
"Oct 15, 2025",107.76 ₹/L,  0.00
"Oct 14, 2025",107.76 ₹/L,- 0.08
"Oct 13, 2025",107.68 ₹/L,+ 0.11
"Oct 12, 2025",107.79 ₹/L,+ 0.21
"Oct 11, 2025",108.00 ₹/L,- 0.58
"Oct 10, 2025",107.42 ₹/L,+ 0.26
"Oct 09, 2025",107.68 ₹/L,+ 0.32
"Oct 08, 2025",108.00 ₹/L,  NA
"Oct 17, 2025",166.00 ₹/L,- 24.00
"Oct 16, 2025",142.00 ₹/L,- 34.88
"Oct 15, 2025",107.12 ₹/L,+ 0.49
"Oct 14, 2025",107.61 ₹/L,+ 0.06
"Oct 13, 2025",107.67 ₹/L,  0.00
"Oct 12, 2025",107.67 ₹/L,+ 0.29
"Oct 11, 2025",107.96 ₹/L,- 0.53
"Oct 10, 2025",107.43 ₹/L,+ 0.42
"Oct 09, 2025",107.85 ₹/L,+ 0.14
