District,Petrol Price,Change
"Oct 12, 2025",94.85 ₹/L,- 0.03
"Oct 11, 2025",94.82 ₹/L,+ 0.01
"Oct 10, 2025",94.83 ₹/L,+ 0.02
"Oct 09, 2025",94.85 ₹/L,+ 0.06
"Oct 08, 2025",94.91 ₹/L,- 0.18
"Oct 07, 2025",94.73 ₹/L,+ 0.12
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.98 ₹/L,+ 0.18
"Oct 14, 2025",95.16 ₹/L,- 0.05
"Oct 13, 2025",95.11 ₹/L,- 0.20
"Oct 12, 2025",94.91 ₹/L,- 0.02
"Oct 11, 2025",94.89 ₹/L,+ 0.24
"Oct 10, 2025",95.13 ₹/L,- 0.19
"Oct 09, 2025",94.94 ₹/L,- 0.05
"Oct 08, 2025",94.89 ₹/L,+ 0.05
"Oct 07, 2025",94.94 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.02 ₹/L,+ 0.09
"Oct 14, 2025",94.11 ₹/L,  0.00
"Oct 13, 2025",94.11 ₹/L,- 0.33
"Oct 12, 2025",93.78 ₹/L,+ 0.33
"Oct 11, 2025",94.11 ₹/L,- 0.09
"Oct 10, 2025",94.02 ₹/L,+ 0.09
"Oct 09, 2025",94.11 ₹/L,  0.00
"Oct 08, 2025",94.11 ₹/L,  0.00
"Oct 07, 2025",94.11 ₹/L,- 0.31
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.62 ₹/L,+ 0.16
"Oct 14, 2025",94.78 ₹/L,  0.00
"Oct 13, 2025",94.78 ₹/L,- 0.16
"Oct 12, 2025",94.62 ₹/L,+ 0.11
"Oct 11, 2025",94.73 ₹/L,- 0.19
"Oct 10, 2025",94.54 ₹/L,+ 0.33
"Oct 09, 2025",94.87 ₹/L,  0.00
"Oct 08, 2025",94.87 ₹/L,  0.00
"Oct 07, 2025",94.87 ₹/L,- 0.33
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.94 ₹/L,+ 0.30
"Oct 14, 2025",95.24 ₹/L,+ 0.39
"Oct 13, 2025",95.63 ₹/L,- 0.58
"Oct 12, 2025",95.05 ₹/L,+ 0.19
"Oct 11, 2025",95.24 ₹/L,- 0.30
"Oct 10, 2025",94.94 ₹/L,+ 0.69
"Oct 09, 2025",95.63 ₹/L,- 0.70
"Oct 08, 2025",94.93 ₹/L,  0.00
"Oct 07, 2025",94.93 ₹/L,+ 0.70
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.85 ₹/L,- 0.27
"Oct 14, 2025",94.58 ₹/L,+ 0.27
"Oct 13, 2025",94.85 ₹/L,  0.00
"Oct 12, 2025",94.85 ₹/L,- 0.36
"Oct 11, 2025",94.49 ₹/L,+ 0.36
"Oct 10, 2025",94.85 ₹/L,- 0.27
"Oct 09, 2025",94.58 ₹/L,- 0.07
"Oct 08, 2025",94.51 ₹/L,+ 0.34
"Oct 07, 2025",94.85 ₹/L,- 0.34
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.32 ₹/L,+ 0.25
"Oct 14, 2025",95.57 ₹/L,- 0.25
"Oct 13, 2025",95.32 ₹/L,  0.00
"Oct 12, 2025",95.32 ₹/L,- 0.27
"Oct 11, 2025",95.05 ₹/L,+ 0.26
"Oct 10, 2025",95.31 ₹/L,+ 0.01
"Oct 09, 2025",95.32 ₹/L,+ 0.69
"Oct 08, 2025",96.01 ₹/L,- 0.35
"Oct 07, 2025",95.66 ₹/L,- 0.08
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.86 ₹/L,- 0.10
"Oct 14, 2025",95.76 ₹/L,- 0.21
"Oct 13, 2025",95.55 ₹/L,+ 0.31
"Oct 12, 2025",95.86 ₹/L,- 0.28
"Oct 11, 2025",95.58 ₹/L,- 0.15
"Oct 10, 2025",95.43 ₹/L,+ 0.66
"Oct 09, 2025",96.09 ₹/L,- 0.53
"Oct 08, 2025",95.56 ₹/L,+ 0.11
"Oct 07, 2025",95.67 ₹/L,- 0.12
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.88 ₹/L,- 0.45
"Oct 14, 2025",94.43 ₹/L,  0.00
"Oct 13, 2025",94.43 ₹/L,+ 0.45
"Oct 12, 2025",94.88 ₹/L,- 0.12
"Oct 11, 2025",94.76 ₹/L,- 0.33
"Oct 10, 2025",94.43 ₹/L,+ 0.45
"Oct 09, 2025",94.88 ₹/L,  0.00
"Oct 08, 2025",94.88 ₹/L,- 0.45
"Oct 07, 2025",94.43 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",95.34 ₹/L,- 0.36
"Oct 14, 2025",94.98 ₹/L,  0.00
"Oct 13, 2025",94.98 ₹/L,  0.00
"Oct 12, 2025",94.98 ₹/L,+ 0.36
"Oct 11, 2025",95.34 ₹/L,  0.00
"Oct 10, 2025",95.34 ₹/L,- 0.33
"Oct 09, 2025",95.01 ₹/L,  0.00
"Oct 08, 2025",95.01 ₹/L,+ 0.12
"Oct 07, 2025",95.13 ₹/L,+ 0.21
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.59 ₹/L,+ 0.36
"Oct 14, 2025",94.95 ₹/L,- 0.18
"Oct 13, 2025",94.77 ₹/L,- 0.21
"Oct 12, 2025",94.56 ₹/L,+ 0.39
"Oct 11, 2025",94.95 ₹/L,- 0.36
"Oct 10, 2025",94.59 ₹/L,+ 0.26
"Oct 09, 2025",94.85 ₹/L,- 0.26
"Oct 08, 2025",94.59 ₹/L,+ 0.29
"Oct 07, 2025",94.88 ₹/L,- 0.03
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.72 ₹/L,- 0.22
"Oct 14, 2025",94.50 ₹/L,- 0.06
"Oct 13, 2025",94.44 ₹/L,  0.00
"Oct 12, 2025",94.44 ₹/L,+ 0.36
"Oct 11, 2025",94.80 ₹/L,- 0.36
"Oct 10, 2025",94.44 ₹/L,  0.00
"Oct 09, 2025",94.44 ₹/L,+ 0.20
"Oct 08, 2025",94.64 ₹/L,- 0.20
"Oct 07, 2025",94.44 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.98 ₹/L,+ 0.11
"Oct 14, 2025",95.09 ₹/L,  0.00
"Oct 13, 2025",95.09 ₹/L,  0.00
"Oct 12, 2025",95.09 ₹/L,- 0.10
"Oct 11, 2025",94.99 ₹/L,- 0.01
"Oct 10, 2025",94.98 ₹/L,  0.00
"Oct 09, 2025",94.98 ₹/L,+ 0.01
"Oct 08, 2025",94.99 ₹/L,- 0.01
"Oct 07, 2025",94.98 ₹/L,  0.00
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.97 ₹/L,- 0.30
"Oct 14, 2025",94.67 ₹/L,+ 0.18
"Oct 13, 2025",94.85 ₹/L,  0.00
"Oct 12, 2025",94.85 ₹/L,- 0.18
"Oct 11, 2025",94.67 ₹/L,+ 0.30
"Oct 10, 2025",94.97 ₹/L,- 0.16
"Oct 09, 2025",94.81 ₹/L,  0.00
"Oct 08, 2025",94.81 ₹/L,+ 0.16
"Oct 07, 2025",94.97 ₹/L,- 0.07
"Oct 19, 2025",177.00 ₹/L,  NA
"Oct 15, 2025",94.77 ₹/L,+ 0.22
"Oct 14, 2025",94.99 ₹/L,- 0.10
"Oct 13, 2025",94.89 ₹/L,- 0.02
"Oct 12, 2025",94.87 ₹/L,  0.00
"Oct 11, 2025",94.87 ₹/L,  0.00
"Oct 10, 2025",94.87 ₹/L,+ 0.16
